"","x"
"1",0.864625032726719
"2",0.0543909569621997
"3",0.155447695636888
"4",0.547182585162568
"5",0.0915683017108292
"6",0.112118267378746
"7",0.183896094659778
"8",0.0755953926986031
"9",0.075121130939059
"10",0.152550832252298
"11",0.0937180209787332
"12",0.0900308721254199
"13",0.149078520675949
"14",0.203512348647862
"15",0.244517083892404
"16",0.162711059634539
"17",0.176438812945949
"18",0.257563503472715
"19",0.0863742032036153
"20",0.118411115677287
"21",0.120813843650834
"22",0.102291780883512
"23",0.212466730527806
"24",0.307248506903166
"25",0.077791837977711
"26",0.226255567786021
"27",0.11151158500697
"28",0.148950689157171
"29",0.160805848390761
"30",0.13408467144582
"31",0.17944491255509
"32",0.0921970112609802
"33",0.168162491657982
"34",0.319143147901187
"35",0.0536052475029791
"36",0.13808075929509
"37",0.568470437639219
"38",0.132620583378999
"39",0.0882637611626177
"40",0.0541810380178075
"41",0.0743660075925274
"42",0.192124400553477
"43",0.117759559660966
"44",0.277832406442714
"45",0.231325465902646
