Strain,X,Y
HK68,1.8,2.4
EN72,2.7,4.9
VI75,7.6,6.3
TX77,7.9,8.8
BK79,9.6,11
SI87,15,6.8
BE89,18.5,9.9
BE92,20.2,1.6
WU95,20.9,6.7
SY97,29.1,11.9
FU02,30.4,8.7
CA04,31.6,4.3
WI05,35,5.7
PE06,38.1,8.8
