"x_coord","y_coord","inf_years"
-0.303600823045144,0.232261524877266,1968
-0.303600823045144,0.232261524877266,1969
-0.303600823045144,0.232261524877266,1970
-0.303600823045144,0.232261524877266,1971
3.38086419753085,4.76227561407079,1972
3.38086419753085,4.76227561407079,1973
5.22309670781897,5.98280178572794,1974
5.22309670781897,5.98280178572794,1975
5.22309670781897,5.98280178572794,1976
7.98644547325125,8.2920546444888,1977
8.90756172839519,9.39238074669811,1978
8.90756172839519,9.39238074669811,1979
8.90756172839519,9.39238074669811,1980
8.90756172839519,9.39238074669811,1981
8.90756172839519,9.39238074669811,1982
8.90756172839519,9.39238074669811,1983
14.4342592592593,7.86451499649079,1984
14.4342592592593,7.86451499649079,1985
14.4342592592593,7.86451499649079,1986
17.1976080246916,7.95944347589919,1987
17.1976080246916,7.95944347589919,1988
17.1976080246916,7.95944347589919,1989
19.9609567901236,5.47240184859195,1990
17.1976080246916,7.95944347589919,1991
21.8031893004118,5.74722779506384,1992
21.8031893004118,5.74722779506384,1993
21.8031893004118,5.74722779506384,1994
24.5665380658438,9.1301797494066,1995
24.5665380658438,9.1301797494066,1996
24.5665380658438,9.1301797494066,1997
27.3298868312759,11.6872120685621,1998
27.3298868312759,11.6872120685621,1999
27.3298868312759,11.6872120685621,2000
30.0932355967079,8.96451984284099,2001
30.0932355967079,8.96451984284099,2002
30.0932355967079,8.96451984284099,2003
32.85658436214,4.74839605251586,2004
32.85658436214,4.74839605251586,2005
32.85658436214,4.74839605251586,2006
35.6199331275723,6.00863049921223,2007
35.6199331275723,6.00863049921223,2008
37.4621656378602,7.96716677042604,2009
37.4621656378602,7.96716677042604,2010
37.4621656378602,7.96716677042604,2011
40.2255144032924,11.189545340135,2012
40.2255144032924,11.189545340135,2013
40.2255144032924,11.189545340135,2014
40.2255144032924,11.189545340135,2015
