samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.03912099919682,2.25564457363777,0,0,0.025,0.0772082829753223,0,0.197594329668121,0.0889690167306819,1,8,1.32801406847474,0,1,10,0,-12902.4071350838,-12559.970562925,-342.436572158841
6,1.80398101080862,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.197594329668121,0.0889690167306819,1,8,1.32801406847474,0,1,10,0,-12050.3157552017,-11706.871128944,-343.444626257728
11,1.45355160477076,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.197594329668121,0.0889690167306819,1,8,1.32801406847474,0,1,10,0,-11453.1550895081,-11099.5591899864,-353.59589952168
16,1.45355160477076,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.158079643193764,0.0889690167306819,1,8,1.32801406847474,0,1,10,0,-10870.5197362295,-10514.7386883239,-355.781047905617
21,1.19464398633827,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.158079643193764,0.0754237462529306,1,8,2.28373241122261,0,1,10,0,-9731.76352081917,-9391.05215009798,-340.711370721191
26,1.19464398633827,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.158079643193764,0.0687705965745925,1,8,2.28373241122261,0,1,10,0,-9580.95962607747,-9228.08528592972,-352.874340147754
31,1.31034086992752,1.92872893344043,0,0,0.025,0.0772082829753223,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-9299.23160527196,-8937.31025367073,-361.921351601233
36,1.31034086992752,1.92872893344043,0,0,0.025,0.0768769661175108,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-9296.0815259105,-8933.70697779834,-362.374548112162
41,1.31034086992752,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-9194.71922241003,-8827.72438662647,-366.994835783566
46,1.31034086992752,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-9009.75605171456,-8650.19353586888,-359.562515845681
51,0.942850309077851,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-8987.99747218907,-8623.89488824374,-364.102583945331
56,1.12722119522793,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-8871.9636320406,-8514.38210963709,-357.581522403513
61,1.12722119522793,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-8844.05452950581,-8489.41664239334,-354.63788711247
66,1.12722119522793,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-8819.2062504631,-8464.26777787334,-354.938472589758
71,1.12722119522793,1.92872893344043,0,0,0.025,0.0640150985715773,0,0.158079643193764,0.0687705965745925,1,8,1.82946222765095,0,1,10,0,-8786.48251757097,-8423.69854588395,-362.783971687016
