samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.84265951283117,2.62936687537197,0,0,0.025,0.0937041392178417,0,0.125817341792865,0.097856041163685,1,8,1.75350234907318,0,1,10,0,-11603.4212767753,-11261.4405700675,-341.980706707783
6,1.84265951283117,2.62936687537197,0,0,0.025,0.0937041392178417,0,0.170717234469295,0.097856041163685,1,8,1.75350234907318,0,1,10,0,-10898.6706509747,-10554.8466590165,-343.823991958225
11,1.84265951283117,2.62936687537197,0,0,0.025,0.0937041392178417,0,0.170717234469295,0.097856041163685,1,8,2.60472803895442,0,1,10,0,-10292.7774348755,-9954.00848238978,-338.768952485731
16,1.84265951283117,2.62936687537197,0,0,0.025,0.0937041392178417,0,0.202146402105329,0.097856041163685,1,8,2.60472803895442,0,1,10,0,-9842.32844306465,-9509.62795183071,-332.70049123394
21,1.84265951283117,2.62936687537197,0,0,0.025,0.0937041392178417,0,0.202146402105329,0.097856041163685,1,8,2.60472803895442,0,1,10,0,-9756.9560991367,-9421.76813905077,-335.187960085925
26,1.84265951283117,2.62936687537197,0,0,0.025,0.126231794270271,0,0.202146402105329,0.097856041163685,1,8,2.60472803895442,0,1,10,0,-9661.24342112746,-9326.56655294393,-334.67686818353
31,1.84265951283117,2.59775138262945,0,0,0.025,0.126231794270271,0,0.202146402105329,0.097856041163685,1,8,2.60472803895442,0,1,10,0,-9562.13000478776,-9218.79610507916,-343.333899708597
36,1.84265951283117,2.59775138262945,0,0,0.025,0.126231794270271,0,0.202146402105329,0.097856041163685,1,8,1.97077645173331,0,1,10,0,-9131.62226415927,-8798.058082487,-333.564181672273
41,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.202146402105329,0.097856041163685,1,8,1.97077645173331,0,1,10,0,-8992.61361833867,-8644.91748316225,-347.69613517642
46,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.202146402105329,0.097856041163685,1,8,1.97077645173331,0,1,10,0,-8896.93673909541,-8543.85959031113,-353.077148784279
51,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.097856041163685,1,8,1.97077645173331,0,1,10,0,-8850.24122916068,-8492.89438292671,-357.346846233979
56,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.0953311110820787,1,8,1.97077645173331,0,1,10,0,-8747.95010056548,-8389.33803095217,-358.612069613306
61,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.0953311110820787,1,8,1.97077645173331,0,1,10,0,-8692.43270050889,-8329.5112872354,-362.921413273498
66,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.080800638340072,1,8,1.97077645173331,0,1,10,0,-8670.06913060231,-8308.68569627726,-361.383434325046
71,1.90586106274722,2.2043437583613,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.080800638340072,1,8,1.97077645173331,0,1,10,0,-8629.01739646571,-8272.92289974111,-356.0944967246
76,1.90586106274722,1.91811505159548,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.080800638340072,1,8,1.97077645173331,0,1,10,0,-8606.52977793562,-8244.26795074934,-362.261827186281
81,1.90586106274722,1.91811505159548,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.080800638340072,1,8,1.92234188326334,0,1,10,0,-8568.31468181322,-8203.2802659047,-365.034415908521
86,1.9002967204111,1.91811505159548,0,0,0.025,0.0965272748208776,0,0.190296369856607,0.080800638340072,1,8,1.92234188326334,0,1,10,0,-8555.59191816962,-8187.52057424401,-368.071343925615
91,1.9002967204111,1.91811505159548,0,0,0.025,0.0965272748208776,0,0.183040650578322,0.080800638340072,1,8,1.92234188326334,0,1,10,0,-8510.16422300878,-8141.08651652815,-369.077706480631
96,1.9002967204111,1.93128877936585,0,0,0.025,0.0965272748208776,0,0.183040650578322,0.080800638340072,1,8,1.92234188326334,0,1,10,0,-8505.20869792985,-8133.73309617643,-371.47560175343
101,1.9002967204111,1.93128877936585,0,0,0.025,0.0965272748208776,0,0.183040650578322,0.0828447180547988,1,8,1.32963431930727,0,1,10,0,-8205.85450752293,-7826.24527642224,-379.609231100691
