"x_coord","y_coord","inf_years"
-0.303600823045144,0.232261524877266,23616
-0.226841135116501,0.332617752976152,23617
-0.150081447187858,0.432973981075038,23618
-0.0733217592592155,0.533330209173923,23619
0.00343792866942749,0.633686437272809,23620
0.0801976165982978,0.734042665371992,23621
0.156957304526941,0.834398893470877,23622
0.233716992455584,0.934755121569763,23623
0.310476680384227,1.03511134966865,23624
0.38723636831287,1.13546757776753,23625
0.463996056241513,1.23582380586642,23626
0.540755744170156,1.33618003396531,23627
0.617515432098799,1.43653626206419,23628
0.694275120027442,1.53689249016308,23629
0.771034807956312,1.63724871826226,23630
0.847794495884955,1.73760494636115,23631
0.924554183813598,1.83796117446003,23632
1.00131387174224,1.93831740255892,23633
1.07807355967088,2.0386736306578,23634
1.15483324759953,2.13902985875669,23635
1.23159293552817,2.23938608685557,23636
1.30835262345681,2.33974231495446,23637
1.38511231138568,2.44009854305364,23638
1.46187199931433,2.54045477115253,23639
1.53863168724297,2.64081099925142,23640
1.61539137517161,2.7411672273503,23641
1.69215106310025,2.84152345544919,23642
1.7689107510289,2.94187968354807,23643
1.84567043895754,3.04222938218453,23644
1.92243012688618,3.14245081074074,23645
1.99918981481483,3.24232437132958,23646
2.0759495027437,3.34162740419781,23647
2.15270919067234,3.44013724959129,23648
2.22946887860098,3.53763124775676,23649
2.30622856652963,3.63388673894068,23650
2.38298825445827,3.7286810633895,23651
2.45974794238691,3.82179156134968,23652
2.53650763031555,3.91299557306767,23653
2.6132673182442,4.00207043878992,23654
2.69002700617307,4.08879349876313,23655
2.76678669410171,4.17297564096189,23656
2.84354638203035,4.25462665891991,23657
2.920306069959,4.33382937469367,23658
2.99706575788764,4.41066672204395,23659
3.07382544581628,4.48522163473155,23660
3.15058513374493,4.55757704651725,23661
3.22734482167357,4.62781589116183,23662
3.30410450960221,4.69602110242608,23663
3.38086419753108,4.76227561407099,23664
3.45762388545972,4.82666235985694,23665
3.53438357338837,4.88926427354493,23666
3.61114326131701,4.95016428889574,23667
3.68790294924565,5.00944533967015,23668
3.7646626371743,5.06719035962896,23669
3.84142232510294,5.12348228253295,23670
3.91818201303158,5.17840404214291,23671
3.99494170096045,5.23203857221977,23672
4.0717013888891,5.28446880652402,23673
4.14846107681774,5.3357776788166,23674
4.22522076474638,5.38604812285829,23675
4.30198045267502,5.43536307240989,23676
4.37874014060367,5.48380546123217,23677
4.45549982853231,5.53145822308593,23678
4.53225951646095,5.57840429173196,23679
4.6090192043896,5.62472660093103,23680
4.68577889231847,5.67050808444407,23681
4.76253858024711,5.7158316760316,23682
4.83929826817575,5.76078030945454,23683
4.9160579561044,5.80543691847368,23684
4.99281764403304,5.8498844368498,23685
5.06957733196168,5.8942057983437,23686
5.14633701989032,5.93848393671615,23687
5.22309670781897,5.98280178572794,23688
5.29985639574784,6.02724227914,23689
5.37661608367648,6.07188835071285,23690
5.45337577160512,6.1168229342074,23691
5.53013545953377,6.16212896338444,23692
5.60689514746241,6.20788937200476,23693
5.68365483539105,6.25418709382915,23694
5.7604145233197,6.30110506261839,23695
5.83717421124834,6.34872621213327,23696
5.91393389917698,6.39713347613458,23697
5.99069358710585,6.44640978838324,23698
6.0674532750345,6.49663808263977,23699
6.14421296296314,6.54790129266508,23700
6.22097265089178,6.60028235221996,23701
6.29773233882042,6.6538641950652,23702
6.37449202674907,6.7087297549616,23703
6.45125171467771,6.76496196566992,23704
6.52801140260635,6.82264376095097,23705
6.60477109053522,6.88185807456571,23706
6.68153077846387,6.94268784027456,23707
6.75829046639251,7.0052159918385,23708
6.83505015432115,7.06952546301831,23709
6.9118098422498,7.13569918757477,23710
6.98856953017844,7.20382009926868,23711
7.06532921810708,7.27397113186082,23712
7.14208890603572,7.34623521911197,23713
7.21884859396437,7.42069529478292,23714
7.29560828189324,7.4974342926347,23715
7.37236796982188,7.57653514642763,23716
7.44912765775052,7.65808078992272,23717
7.52588734567917,7.74215415688077,23718
7.60264703360781,7.82883817710275,23719
7.67940672153645,7.9181088988015,23720
7.7561664094651,8.00955680923423,23721
7.83292609739374,8.10268548509591,23722
7.90968578532261,8.19699858073386,23723
7.98644547325125,8.2920546444888,23724
8.06320516117989,8.38756336481955,23725
8.13996484910854,8.48326021768499,23726
8.21672453703718,8.57888067904398,23727
8.29348422496582,8.67416022485539,23728
8.37024391289447,8.76883433107809,23729
8.44700360082311,8.86263847367094,23730
8.52376328875175,8.95530812859281,23731
8.60052297668062,9.04657877180284,23732
8.67728266460927,9.13618587925936,23733
8.75404235253791,9.2238649269215,23734
8.83080204046655,9.30935139074813,23735
8.90756172839519,9.39238074669811,23736
8.98432141632384,9.47268847073032,23737
9.06108110425248,9.55001003880363,23738
9.13784079218112,9.62408092687689,23739
9.21460048010999,9.69463661090919,23740
9.29136016803864,9.76141256685897,23741
9.36811985596728,9.82414427068531,23742
9.44487954389592,9.88256719834707,23743
9.52163923182457,9.93641682580314,23744
9.59839891975321,9.98542862901236,23745
9.67515860768185,10.0293985817985,23746
9.75191829561049,10.0683802799592,23747
9.82867798353914,10.1024958815491,23748
9.90543767146801,10.1318675452078,23749
9.98219735939665,10.1566174295744,23750
10.0589570473253,10.1768676932887,23751
10.1357167352539,10.1927404949899,23752
10.2124764231826,10.2043579933176,23753
10.2892361111112,10.2118423469113,23754
10.3659957990399,10.2153157144103,23755
10.4427554869685,10.2149002544541,23756
10.5195151748974,10.2107181256822,23757
10.596274862826,10.202891486734,23758
10.6730345507547,10.1915424962491,23759
10.7497942386833,10.1767933128667,23760
10.826553926612,10.1587660952264,23761
