samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,exponential_waning,posterior_prob,likelihood,prior_prob
1,2.12820331860946,2.10803878108786,0,0,0.025,0.098437904695767,0,0.168601747967574,0.013523382391516,1,8,1.82193249870603,0,1,10,0,0,-15417.6019508896,-14794.7272928843,-622.874658005293
11,1.87099140714067,1.94214180115738,0,0,0.025,0.115047650251051,0,0.168601747967574,0.053079288413397,1,8,1.82193249870603,0,1,10,0,0,-13694.4382873934,-13051.4369629994,-643.001324394001
21,1.57399308006059,1.94214180115738,0,0,0.025,0.118769393857576,0,0.146223448988627,0.053079288413397,1,8,1.82193249870603,0,1,10,0,0,-13150.7132002473,-12549.8289880714,-600.884212175934
31,1.57399308006059,1.94214180115738,0,0,0.025,0.118769393857576,0,0.12079539150592,0.053079288413397,1,8,1.82193249870603,0,1,10,0,0,-12382.2811323162,-11765.8490996955,-616.432032620667
41,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.117718095259127,0.053079288413397,1,8,1.82193249870603,0,1,10,0,0,-12068.0957998085,-11437.5260841814,-630.569715627149
51,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.104451366613126,0.053079288413397,1,8,1.82193249870603,0,1,10,0,0,-11761.4989854316,-11114.617591418,-646.881394013518
61,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.104451366613126,0.053079288413397,1,8,1.65834367064188,0,1,10,0,0,-11455.7843020623,-10791.5251187882,-664.259183274047
71,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.104451366613126,0.053079288413397,1,8,1.65834367064188,0,1,10,0,0,-11396.3236923861,-10725.5668810257,-670.756811360352
81,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.104451366613126,0.053079288413397,1,8,1.65834367064188,0,1,10,0,0,-11378.3287544034,-10691.800733011,-686.528021392429
91,1.57399308006059,1.6510164887671,0,0,0.025,0.0802141030236458,0,0.104451366613126,0.053079288413397,1,8,1.65834367064188,0,1,10,0,0,-11188.6489430514,-10483.0610266877,-705.58791636363
101,1.57399308006059,1.6510164887671,0,0,0.025,0.0753078093156276,0,0.104451366613126,0.053079288413397,1,8,1.65834367064188,0,1,10,0,0,-11135.4796247753,-10418.2938154904,-717.185809284975
111,1.57399308006059,1.33166162212976,0,0,0.025,0.0753078093156276,0,0.104451366613126,0.051957335625106,1,8,1.65834367064188,0,1,10,0,0,-11098.0542230631,-10365.0655450153,-732.988678047872
121,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.65834367064188,0,1,10,0,0,-11027.1938177321,-10288.3824194508,-738.811398281308
131,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.5889323547012,0,1,10,0,0,-10911.9907374156,-10171.5294621582,-740.461275257422
141,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10644.2504023337,-9883.21855161581,-761.031850717907
151,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10583.7268559074,-9817.79301640963,-765.933839497792
161,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10570.5745330677,-9792.96931289932,-777.605220168334
171,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10521.1128116548,-9753.22025219643,-767.892559458342
181,1.57399308006059,1.2952398551651,0,0,0.025,0.0753078093156276,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10502.3785220805,-9712.57178922677,-789.80673285376
191,1.57399308006059,1.2952398551651,0,0,0.025,0.0770461083402836,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10443.9294312913,-9663.69520614717,-780.234225144158
201,1.57399308006059,1.2952398551651,0,0,0.025,0.0770461083402836,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10427.9105221372,-9646.86509679198,-781.04542534524
211,1.57399308006059,1.2952398551651,0,0,0.025,0.0770461083402836,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10409.8796645366,-9623.42159596003,-786.458068576612
221,1.57399308006059,1.28326719773923,0,0,0.025,0.0770461083402836,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10377.7088399937,-9600.30357987523,-777.40526011851
231,1.57399308006059,1.28326719773923,0,0,0.025,0.0754787316265461,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10379.2198969647,-9597.03157523484,-782.188321729869
241,1.57399308006059,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10374.6945716674,-9595.98209104736,-778.712480620026
251,1.57399308006059,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0992762583190254,0.051957335625106,1,8,1.17399142652057,0,1,10,0,0,-10337.6499497701,-9554.901296094,-782.748653676125
261,1.57399308006059,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0992762583190254,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10326.5923388069,-9530.42279209909,-796.169546707785
271,1.57399308006059,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0992762583190254,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10313.5178513853,-9509.09778969571,-804.420061689578
281,1.68805783975777,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10306.2737094181,-9505.08332414864,-801.190385269469
291,1.68227971250056,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10294.846556537,-9499.74431078607,-795.102245750959
301,1.68227971250056,1.28326719773923,0,0,0.025,0.0785544103987789,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10280.2959474189,-9493.62602503838,-786.669922380553
311,1.68227971250056,1.28326719773923,0,0,0.025,0.0792042731899976,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10259.2008538453,-9476.61146150701,-782.589392338243
321,1.68227971250056,1.28326719773923,0,0,0.025,0.0792042731899976,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10262.9085552838,-9468.37289521428,-794.535660069511
331,1.68227971250056,1.28326719773923,0,0,0.025,0.0792042731899976,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10256.3165362093,-9458.91096485516,-797.405571354142
341,1.68227971250056,1.28326719773923,0,0,0.025,0.0792042731899976,0,0.0994811846856229,0.0605103735290835,1,8,1.17399142652057,0,1,10,0,0,-10251.9277596736,-9452.53304568315,-799.39471399049
