"","x"
"1",0.402187606794042
"2",0.0679886948115179
"3",0.0611518410620972
"4",0.354272784876846
"5",0.167828717258412
"6",0.119523629725882
"7",0.0794769737362541
"8",0.15270589587397
"9",0.0829641293087942
"10",0.106792711368896
"11",0.176084991795785
"12",0.0610456162908694
"13",0.278927486799475
"14",0.086017677434002
"15",0.19315476884515
"16",0.152321117604303
"17",0.0707493237173469
"18",0.126172998174124
"19",0.182007940625138
"20",0.200999139788227
"21",0.113911256630976
"22",0.211737092463276
"23",0.198946171987504
"24",0.15301324064241
"25",0.351738181552147
"26",0.120482658320185
"27",0.0777893593485207
"28",0.121713720404746
"29",0.364724880983215
"30",0.11518490713204
"31",0.139189805751168
"32",0.228400441808965
"33",0.0621157367433125
"34",0.110062168086368
"35",0.12786399536544
"36",0.335293032198358
"37",0.0445384785578465
"38",0.15172500148285
"39",0.0744388003758014
"40",0.177628339634447
"41",0.132491203610058
"42",0.0580188588765165
"43",0.0774322390986236
"44",0.0907338828998445
"45",0.0630991917346941
